YEAR,ENERGY_SOURCE,GENERATION
2017,Coal,136687270.0
2017,Natural Gas,57599026.0
2017,Nuclear,35375578.0
2018,Coal,117453923.0
2018,Natural Gas,88429009.0
2018,Nuclear,36630014.0
2019,Natural Gas,102650908.0
2019,Coal,93529056.0
2019,Nuclear,34021122.0
2020,Natural Gas,104763186.0
2020,Coal,90017194.0
2020,Nuclear,36438050.0
2021,Natural Gas,108312892.0
2021,Coal,91531725.0
2021,Nuclear,34966018.0
